Engines,CC/Battery Capacity,Total Speed
I4,"1,986 cc",200 km/h
6.6L V8 Diesel,6600 cc,175 km/h
I4,"1,998 cc",200 km/h
1.5L Inline-4,"1,500 cc",120 km/h
Inline-4,"1,199 cc",180 km/h
3.0L Twin-Turbo Flat-6,2981 cc,289 km/h
6.6L V8 engine,"6,600 cc",170 km/h
8.0L Quad-Turbo W16,7993 cc,380 km/h
6.2L V8 Gasoline,6200 cc,190 km/h
5.3L V8 Gasoline,5300 cc,180 km/h
3.8L Twin-Turbo Flat-6,3745 cc,320 km/h
1.4L I4 Turbo + Electric Motor,1395 cc,210 km/h
V6 Turbocharged,"3,000 cc",230 km/h
1.3L Turbo Hybrid Inline-4,1332 cc,190 km/h
Electric Motor,53.6 kwh(Standard Range) / 77.4 kwh(Long Range),185 km/h
2.0L Turbo I4,1984 cc,250 km/h
I4,"2,488 cc",225 km/h
1.2L I4 Turbo / 2.0L I4 Turbo,1197 cc / 1984 cc,217 km/h
1.6L Inline-4,"1,600 cc",175 km/h
V8,"3,996 cc",305 km/h
1.2L I4 Gas / 1.4L I4 Gas,1198 cc / 1390 cc,148 km/h
V8,"4,935 cc",285 km/h
Electric Motor,50 kWh,200 km/h
V10,"5,204 cc",325 km/h
2.4L Diesel Turbo,"2,400 cc",177 km/h
V6,"3,456 cc",220 km/h
V12,"6,592 cc",250 km/h
2.9L Twin-Turbo V6,2894 cc,289 km/h
2.0L Inline-4,1998 cc,175 km/h
3.0L V6 Turbo,2995 cc,245 km/h
V12,"6,592 cc",250 km/h
Hybrid I4,"1,598 cc (petrol) + Electric Motor",235 km/h
1.6L Inline-4,"1,598 cc",190 km/h
2.5L Turbocharged 4-Cylinder,2500 cc,270 km/h
3.0L Twin-Turbo V6,2997 cc,250 km/h
Electric (Dual Motor),90 kWh (Battery),200 km/h
5.3L V8 engine,"5,327 cc",210 km/h
1.6L Turbocharged 4-Cylinder,1591 cc,200 km/h
4.0L Twin-Turbo V8,3996 cc,310 km/h
Diesel I4,"1,997 cc",180 km/h
4.5L V8,4494 cc,240 km/h
1.0L I3 Turbo / 1.5L I4 Turbo,999 cc / 1498 cc,205 km/h
4.0L Naturally Aspirated Flat-6,3996 cc,318 km/h
Twin-Turbo V6 Hybrid,"3,493 cc",307 km/h
1.4L I4 Gas / 1.6L I4 Gas,1390 cc / 1598 cc,170 km/h
5.3L V8 engine,"5,327 cc",210 km/h
1.6L 4-Cylinder Hybrid,1591 cc,180 km/h
3.8L Twin-Turbo Flat-6,3745 cc,330 km/h
2.0L Turbo Inline-4 Gasoline,2000 cc,240 km/h
2.7L Twin-Turbo V6,"2,700 cc",200 km/h
V6,"3,500 cc",190 km/h
3.5L V6,3500 cc,220 km/h
V10,"5,204 cc",325 km/h
Electric (Dual Motor),90 kWh (Battery),200 km/h
V6,"2,996 cc",250 km/h
8.0L Quad-Turbo W16,7993 cc,380 km/h
2.5L V6,2498 cc,210 km/h
2.0L Diesel I4,1968 cc,220 km/h
Turbocharged V6,"3,000 cc",250 km/h
2.0L Turbo I4,1984 cc,233 km/h
5.6L V8,5552 cc,195 km/h
1.5L Turbo Inline-3,1497 cc,180 km/h
2.0L Diesel I4,1968 cc,180 km/h
Turbocharged V8 Diesel,"6,700 cc",165 km/h
2.5L Turbocharged Flat-4,2497 cc,285 km/h
2.0L 4-Cylinder,1999 cc,190 km/h
1.5L Turbo Inline-4 Gasoline,1500 cc,200 km/h
1.5L Turbo 4-cylinder,1500 cc,190 km/h
2.0L Inline-4,"2,000 cc",185 km/h
I4,"1,996 cc",272 km/h
Electric Motor,77.4 kWh,190 km/h
1.5L Turbo Hybrid,1497 cc,190 km/h
V12,"6,749 cc",250 km/h
2.0L Diesel I4,1968 cc,220 km/h
"2.8L,TURBO,DIESEL","2,755 cc",175 km/h
Single Electric Motor,66 kWh,150 km/h
2.0L Kryotec Turbocharged Diesel,1956 cc,180 km/h
3.8L Twin-Turbo Flat-6,3745 cc,320 km/h
V6,"3,956 cc",200 km/h
1.5L Inline-4,"1,500 cc",145 km/h
1.6L Inline-4,"1,600 cc",180 km/h
